CENSUS TRACT,Median Income,Median Income no benefits,Median Income w benefits
17031671600,20919,30786,15822
17031671800,32163,27216,33571
17031671900,52625,54875,35000
17031672000,43063,47917,-
17031680500,23675,23821,23516
17031680600,28304,34926,23080
17031680900,17295,23266,13484
17031681000,16064,19234,9661
17031681100,21266,27250,19485
17031681200,19662,28261,15270
17031681300,25927,30417,14896
17031681400,38385,38314,38587
17031690300,17310,36000,13289
17031690400,21106,31375,16694
17031690500,32546,41488,-
17031690900,27554,43068,22105
17031691000,36806,48295,-
17031691100,20469,44926,11753
17031691200,34657,40815,24896
17031691300,39853,60236,12135
17031691400,32935,37284,25045
17031691500,17292,-,15132
17031700100,62391,78618,-
17031700200,64659,71061,29526
17031700301,67765,67576,75694
17031700302,68488,71250,43935
17031700401,68241,74955,39722
17031700402,68935,77885,-
17031700501,66886,72611,-
17031700502,95750,97125,-
17031710100,19777,40037,9118
17031710200,28014,39173,17188
17031710300,35224,35357,35150
17031710400,35274,43250,25625
17031710500,32656,43306,16488
17031710600,32955,45273,15977
17031710700,19660,28125,9832
17031710800,31233,43261,14196
17031710900,30052,40938,14138
17031711000,37628,44265,34538
17031711100,41985,43065,-
17031711200,42596,54770,13722
17031711300,35086,35600,32500
17031711400,40777,43690,18438
17031711500,47022,49213,-
17031720100,152422,152422,-
17031720200,73300,75114,-
17031720300,122727,122727,-
17031720400,98281,99219,-
17031720500,119500,118500,-
17031720600,110344,110281,-
17031720700,64656,64906,-
17031730100,51313,63508,30357
17031730201,27500,30359,-
17031730202,52046,52204,-
17031730300,50556,61333,23125
17031730400,73077,76944,31604
17031730500,60755,62668,10722
17031730600,37207,43039,30882
17031730700,39893,54063,28077
17031740100,91924,93576,-
17031740200,100361,99677,110583
17031740300,118640,118640,-
17031740400,85798,86649,38750
17031750100,40692,44130,38929
17031750200,78594,89821,-
17031750300,93103,94427,-
17031750400,88224,89013,-
17031750500,54896,65399,-
17031750600,37159,47625,21625
17031760801,60291,65941,25526
17031760802,52188,52099,-
17031760803,41342,48750,17917
17031770201,62853,65074,19630
17031770202,65514,66453,-
17031770300,81938,82930,16366
17031770400,68984,73641,-
17031770500,42399,48929,24375
17031770601,72946,74792,60484
17031770602,63112,66129,53077
17031770700,59526,61453,40893
17031770800,58909,61807,-
17031770901,69321,70061,-
17031770902,60000,60967,37159
17031800100,"250,000+","250,000+",-
17031800200,194803,195959,-
17031800300,204148,205833,-
17031800400,"250,000+","250,000+",-
17031800500,211042,211042,-
17031800600,214875,215682,-
17031800700,196371,196371,-
17031800800,93906,95972,-
17031800900,125404,126324,-
17031801000,113299,114514,38472
17031801100,162328,161863,-
17031801200,194423,194423,-
17031801300,165139,177794,12419
17031801400,131944,131944,-
17031801500,103548,105859,31422
17031801601,109886,110350,-
17031801603,50293,50898,-
17031801605,138992,139577,-
17031801606,111912,111912,-
17031801607,84022,85662,67500
17031801608,119766,119766,-
17031801701,165972,167222,-
17031801702,109821,110417,-
17031801800,140789,142782,-
17031801901,92727,95060,-
17031801902,150862,150560,-
17031802002,118542,120300,-
17031802003,99881,101579,76000
17031802004,45045,49800,17902
17031802100,149286,150664,-
17031802200,113750,112917,-
17031802300,112969,118092,8995
17031802402,60833,65625,23080
17031802403,67917,70924,-
17031802404,59258,61893,15441
17031802503,77006,81472,20167
17031802504,85388,89223,58214
17031802505,56698,60495,41029
17031802506,83333,89048,31071
17031802605,94921,100170,18250
17031802607,112813,113125,-
17031802608,58212,58320,-
17031802609,54248,59542,26350
17031802610,90529,91683,28750
17031802701,90106,93125,66094
17031802702,84875,91055,11350
17031802801,102520,103413,30655
17031802802,102045,103977,-
17031802900,130909,130909,-
17031803005,67222,88833,9797
17031803007,105991,110326,60444
17031803008,108068,110000,-
17031803010,111042,110764,123500
17031803012,75417,80833,21856
17031803013,78125,83333,37821
17031803014,65243,70893,31447
17031803015,78600,81069,-
17031803016,98571,99241,64250
17031803017,90799,95649,32452
17031803100,117772,119022,11607
17031803200,83491,84116,-
17031803300,97353,108207,10168
17031803400,116667,118789,-
17031803500,105114,106534,-
17031803603,157125,162411,72011
17031803604,69417,71920,16111
17031803605,95089,108341,22182
17031803606,54513,56556,46536
17031803607,109929,110302,-
17031803608,67773,75769,23580
17031803610,65639,66705,43355
17031803611,65889,69426,19688
17031803612,55278,68780,36552
17031803701,91122,95729,-
17031803702,90685,92381,-
17031803800,84615,89438,30515
17031803901,66347,66611,-
17031803902,91010,90240,-
17031804000,72627,72669,-
17031804102,132222,133750,-
17031804104,116563,117961,70060
17031804105,123594,123594,-
17031804106,111635,115000,51382
17031804108,85000,86693,22148
17031804109,110833,116106,-
17031804201,148670,149388,-
17031804202,122931,129506,-
17031804305,75682,76148,75208
17031804306,64310,67533,45673
17031804308,72073,75064,-
17031804309,87742,88387,-
17031804310,95439,95430,-
17031804311,97420,102745,36060
17031804403,75417,79239,37700
17031804404,69559,78529,-
17031804405,59397,60438,-
17031804406,62727,70441,30833
17031804505,67907,69632,57222
17031804506,95265,96705,43250
17031804507,97684,98421,-
17031804508,62063,70313,25500
17031804509,74792,76875,71432
17031804510,63422,63459,63333
17031804511,58650,60833,34063
17031804603,64721,67925,22107
17031804606,104968,105057,-
17031804607,97969,100822,35559
17031804608,85040,86492,13636
17031804609,95315,95180,-
17031804610,72037,75597,-
17031804611,83889,85170,59313
17031804701,62756,71265,17250
17031804705,63301,65956,43889
17031804706,119327,125781,70688
17031804709,62179,65393,48500
17031804710,78317,78313,-
17031804711,69365,71987,31362
17031804712,95949,96505,80313
17031804713,89185,91304,48750
17031804714,76959,81094,21875
17031804715,50373,59750,38553
17031804716,95527,97455,-
17031804803,81118,86250,42874
17031804804,79351,84596,10962
17031804805,83662,84824,43370
17031804806,73313,73068,73882
17031804807,80957,85000,52083
17031804808,107174,108235,25000
17031804809,99643,101111,-
17031804810,73136,80096,25714
17031804901,102379,103389,-
17031804902,83876,84902,25821
17031805001,102135,105469,-
17031805002,48029,56411,26295
17031805105,54572,60326,31853
17031805106,71979,72625,-
17031805107,49161,50662,32569
17031805108,58904,61304,27788
17031805109,87889,95032,12928
17031805110,76350,79688,48333
17031805111,61052,62279,51706
17031805112,52150,54833,27292
17031805201,101552,102198,-
17031805202,83894,84159,-
17031805301,64331,71023,33816
17031805302,88287,89722,80885
17031805401,79958,78977,128618
17031805402,71044,71076,-
17031805501,92500,92283,-
17031805502,125764,126250,-
17031805600,134167,135625,-
17031805701,113576,113819,-
17031805702,115417,119583,26806
17031805801,95489,98750,-
17031805802,90504,91009,10903
17031805901,81250,83125,48393
17031805902,103417,106875,11550
17031806001,49912,52138,21333
17031806002,60682,66121,-
17031806003,62859,63469,56181
17031806004,47274,51133,30422
17031806102,89139,94375,-
17031806103,90000,89531,-
17031806104,49967,56739,21563
17031806201,48151,49039,37153
17031806202,49359,55268,8750
17031806300,84974,84948,-
17031806400,84250,98403,-
17031806501,51667,53958,41780
17031806502,71359,72548,57500
17031806600,82708,82891,-
17031806700,114167,115450,82583
17031806801,63580,69861,19735
17031806802,76295,76741,-
17031806900,75186,78661,53583
17031807000,60542,63688,39736
17031807100,118971,121333,-
17031807200,92547,92031,93393
17031807300,58958,70536,40294
17031807400,53734,58827,28182
17031807500,112565,113384,-
17031807600,68815,74191,41397
17031807700,49009,54904,-
17031807800,104875,104875,126250
17031807900,105132,105987,-
17031808001,100549,100530,-
17031808002,77240,76591,81964
17031808100,50291,51507,13958
17031808200,70169,77672,48393
17031808301,78828,80591,-
17031808302,78250,83875,47833
17031808400,83634,83663,-
17031808500,94471,93654,122125
17031808600,170313,171458,-
17031808702,68542,68264,-
17031808800,134583,134583,-
17031808900,141250,145278,-
17031809000,138966,139310,-
17031809100,106815,107232,-
17031809200,48648,53547,13833
17031809300,36406,39353,17426
17031809400,52283,52806,-
17031809500,65685,70571,-
17031809600,90625,92404,-
17031809700,83036,87537,-
17031809800,101364,111838,11620
17031809900,122083,121944,-
17031810000,90185,90910,10720
17031810100,69436,73786,32212
17031810200,61743,62545,-
17031810301,76910,78421,-
17031810302,77162,78750,43594
17031810400,105598,106232,-
17031810501,73429,73393,75139
17031810502,54172,56250,26625
17031810600,54525,55781,-
17031810701,43587,52606,23409
17031810702,50707,53750,33750
17031810800,73462,74439,38682
17031810900,52871,58188,25556
17031811000,80208,80781,-
17031811100,48672,52716,20463
17031811200,63495,64923,40700
17031811301,66655,61285,101875
17031811302,40511,43273,25313
17031811401,65269,69394,22723
17031811402,62014,69167,-
17031811500,72011,75000,50568
17031811600,50703,54190,-
17031811701,54691,62969,48810
17031811702,50663,60054,-
17031811800,77566,79063,53262
17031811900,126250,127713,-
17031812000,117941,119412,-
17031812100,125590,125731,-
17031812200,228229,231250,-
17031812301,82218,85398,-
17031812302,139189,139846,20938
17031812400,187917,189167,-
17031812500,62500,69821,11311
17031812600,56415,57784,9952
17031812700,62800,69688,21914
17031812801,62054,75123,8784
17031812802,55179,62188,14256
17031812900,111607,115919,-
17031813000,104792,107179,17330
17031813100,91250,94188,25536
17031813200,130880,131921,-
17031813301,40536,52171,23438
17031813302,48233,55551,28452
17031813400,52274,58405,43073
17031813500,55168,59007,39219
17031813600,51086,53489,43500
17031813701,41707,51776,33971
17031813702,42123,45592,40750
17031813801,48088,51156,36058
17031813802,41044,45909,32574
17031813900,43571,55100,35402
17031814000,46225,57768,33676
17031814100,42176,43875,29509
17031814200,41533,57942,31212
17031814300,44440,46422,34917
17031814400,44867,54788,26775
17031814500,65638,67618,60170
17031814600,63814,71289,-
17031814700,66771,75174,38106
17031814800,53072,55583,35107
17031814900,56663,63777,27155
17031815000,58015,66250,47644
17031815100,65182,74271,28618
17031815200,60687,65028,36471
17031815300,69167,76094,23924
17031815400,53393,56250,-
17031815500,62167,62054,62380
17031815600,63383,61921,66304
17031815701,125486,127632,-
17031815702,91607,94716,-
17031815800,86458,89821,-
17031815900,52642,62347,14688
17031816000,71389,75049,-
17031816100,59485,62273,21862
17031816200,52357,56083,23250
17031816300,67905,71776,45469
17031816401,54274,62438,43681
17031816402,47976,48075,-
17031816500,40632,42030,21250
17031816600,57880,62400,27043
17031816700,48381,55262,25735
17031816800,60857,63750,44509
17031816900,61484,64632,42386
17031817000,52200,52400,-
17031817101,46234,49132,35963
17031817102,63141,70386,37137
17031817200,50167,58136,35217
17031817300,31500,48283,12287
17031817400,59926,69398,26324
17031817500,32900,55250,14097
17031817600,46591,53506,38036
17031817700,61250,65896,41017
17031817900,47847,55504,31168
17031818000,60066,66121,-
17031818100,91023,97875,-
17031818200,70790,72549,18950
17031818300,54597,57540,45074
17031818401,76042,81250,27188
17031818402,63243,62905,-
17031818500,85958,86365,-
17031818600,86331,91712,-
17031818700,84417,87176,46196
17031818800,84053,84727,-
17031818900,77711,77870,-
17031819000,135208,135972,-
17031819100,55076,62574,24375
17031819200,63846,65610,25577
17031819300,75639,76167,-
17031819400,78571,82150,39423
