Code,Store Name,Address,Store Type
CS,Kevin Food Market,"103 Academy Ave
Providence, RI
(41.82749493600045, -71.44370385499963)",Corner Store
CG,CVS PHARMACY  729,"799 Hope St
Providence, RI
(41.84881026000045, -71.39508909999967)",Chain Store or Gas Station
CS,TAN'S NEW ASIAN MARKET,"339 Broad St
Providence, RI
(41.81400980100045, -71.42141911399966)",Corner Store
CG,Grassos Olenyville Gulf,"35 Plainfield St
Providence, RI
(41.81647426000046, -71.44429906799962)",Chain Store or Gas Station
CS,Daves Convenience Inc,"150B Elmwood Ave
Providence, RI
(41.80892091700048, -71.42453452699965)",Corner Store
CS,Cibao Meat Supermarket LLC,"228 Manton Ave
Providence, RI
(41.82117451500045, -71.44814061799963)",Corner Store
CS,BROADWAY EXPRESS MART,"306 Broadway
Providence, RI
(41.820158182000455, -71.42777829899967)",Corner Store
CS,JOES MEAT MARKET,"1337 Westminster St
Providence, RI
(41.816653586000484, -71.43114780599967)",Corner Store
CG,Walgreens 11147,"1 Pocasset Ave
Providence, RI
(41.81367837400046, -71.44806370199967)",Chain Store or Gas Station
CG,Capital Gulf,"201 Smith St
Providence, RI
(41.832297335000476, -71.41812425499967)",Chain Store or Gas Station
CG,Rite Aid 10249,"456 Branch Ave
Providence, RI
(41.850494091000485, -71.42050022899963)",Chain Store or Gas Station
UK,COLBEA ENTERPRISES LLC,"598 Branch Ave
Providence, RI
(41.852144843000474, -71.42430045999964)",
CS,Stop & Go,"776 Douglas Ave
Providence, RI
(41.850358748000474, -71.43398426199963)",Corner Store
CS,SANCHEZ MEXICAN MARKET,"802 Atwells Ave
Providence, RI
(41.8247830140005, -71.44346543999967)",Corner Store
CS,Broad Market,"1361 Broad St
Providence, RI
(41.78991330800045, -71.40496194799965)",Corner Store
CS,Rite Price Market,"43 Douglas Ave
Providence, RI
(41.8353174450005, -71.41771276799966)",Corner Store
CG,CVS Pharmacy  827,"291 Thayer St
Providence, RI
(41.829953170000465, -71.40082934099962)",Chain Store or Gas Station
CS,ACADEMY FARMS,"524 Academy Ave
Providence, RI
(41.83921644200046, -71.44491238899963)",Corner Store
GR,WALMART 3301,"51 Silver Spring St
Providence, RI
(41.84556212500047, -71.41765504399967)",Grocery
CS,College Convenience Mart,"664 Admiral St
Providence, RI
(41.84914404800048, -71.43881004599967)",Corner Store
SP,LASALLE BAKERY,"993 Smith St
Providence, RI
(41.842341544000476, -71.44442442599967)",Specialty
CS,WELCOME FOOD MART FOOD & SMOKE SHOP,"1081 Atwells Ave
Providence, RI
(41.825361313000485, -71.45364882399963)",Corner Store
CS,A B Variety,"559 Branch Ave
Providence, RI
(41.85193788100048, -71.42368074799964)",Corner Store
CS,EL VECINO GROCERY STORE,"1035 Broad St
Providence, RI
(41.79677920400047, -71.41292351299967)",Corner Store
CS,PORTUGUESE AMERICAN MARKET,"896 Allens Ave
Providence, RI
(41.79114492500048, -71.39664065499966)",Corner Store
CS,SUNNY MARKET PLACE,"243 Reservoir Ave
Providence, RI
(41.79013340500046, -71.42914081199967)",Corner Store
CS,Broadway Mart,"447 Broadway
Providence, RI
(41.81902586500047, -71.43281079099967)",Corner Store
CG,7-ELEVEN #33426-A,"65 Manton Ave
Providence, RI
(41.81805634800048, -71.44466450099964)",Chain Store or Gas Station
CS,"Caribe Mini Market, Llc","615 Charles St
Providence, RI
(41.853235645000495, -71.42038591799962)",Corner Store
CG,CUMBERLAND FARMS  1280,"751 Hope St
Providence, RI
(41.84701852000046, -71.39595080399965)",Chain Store or Gas Station
CG,CVS PHARMACY  13,"70 Kennedy Plz
Providence, RI
(41.82417546300047, -71.41220674099964)",Chain Store or Gas Station
CS,NUNEZ FRUIT MARKET,"1437 Broad St
Providence, RI
(41.787974043000474, -71.40333184799965)",Corner Store
CS,GI JOE'S VARIETY,"445 Smith St
Providence, RI
(41.83536954500045, -71.42590528599965)",Corner Store
CS,CRESPO GROCERY,"1115 Broad St
Providence, RI
(41.7951633080005, -71.41093710399963)",Corner Store
CS,Honeys Market,"49 Bancroft St
Providence, RI
(41.812057438000465, -71.44702132099962)",Corner Store
SP,"ORIENTAL PLAZA INC.,","373 Smith St
Providence, RI
(41.83455405300049, -71.42388159899963)",Specialty
SP,Mi Quesqueya Meat Market,"933 Broad St
Providence, RI
(41.79893078200047, -71.41561840399964)",Specialty
CG,7-Eleven 27668L,"391 Douglas Ave
Providence, RI
(41.84087509300048, -71.42720095699963)",Chain Store or Gas Station
CS,HAWKINS MARKET,"103 Hawkins St
Providence, RI
(41.848408486000494, -71.42595540699966)",Corner Store
FM,Fruit Hill Farmers Market,"600 Mount Pleasant Avenue
Providence, RI
(41.84270721100046, -71.45298120799964)",Farmers' Market
CG,7-Eleven 33413J,"775 Cranston St
Providence, RI
(41.80340345100046, -71.43999664799964)",Chain Store or Gas Station
CS,Westminster Market Inc,"1181 Westminster St
Providence, RI
(41.81698646600046, -71.42827873299967)",Corner Store
CS,CRANSTON VARIETY STORE,"306 Cranston St
Providence, RI
(41.81285140900047, -71.42906952699963)",Corner Store
CS,El Encanto Market Inc,"508 Plainfield St
Providence, RI
(41.81320013800047, -71.45551935099962)",Corner Store
CG,Rite Aid 10251,"135 Pitman St
Providence, RI
(41.82676971300049, -71.38757787499964)",Chain Store or Gas Station
CS,Dugout Convenience Store III,"244 Broad St
Providence, RI
(41.81606351100049, -71.41981829699967)",Corner Store
CG,Tiger Plus LLC,"342 Manton Ave
Providence, RI
(41.82353756800046, -71.45137154099967)",Chain Store or Gas Station
CS,Dugout Convenience Store,"97 Burnside St
Providence, RI
(41.80372562100047, -71.41176578099964)",Corner Store
CS,Elmwood Deluxe Mart Inc,"610A Elmwood Ave
Providence, RI
(41.79541620200047, -71.42471176599963)",Corner Store
CS,A & E CONVENIENCE STORE,"1119 Atwells Ave
Providence, RI
(41.8253171880005, -71.45408616099962)",Corner Store
CS,Quality Meats And Deli,"583 Broad St
Providence, RI
(41.80825283000047, -71.42059096199966)",Corner Store
CS,St Francis D Assisi Convenience,"84 Academy Ave
Providence, RI
(41.826994769000464, -71.44370174099964)",Corner Store
CS,Miami Mart Inc,"935 Atwells Ave
Providence, RI
(41.82510117300046, -71.44849585399965)",Corner Store
CS,Corner Store,"549B Broad St
Providence, RI
(41.80925627500045, -71.42089921699966)",Corner Store
CS,Your Corner Store,"110 Doyle Ave
Providence, RI
(41.838839056000495, -71.40408506299963)",Corner Store
CS,RI Market,"315 Manton Ave
Providence, RI
(41.82297243800048, -71.45050210799963)",Corner Store
CS,LA PLACITA,"165 Almy St
Providence, RI
(41.82159817200045, -71.43406615299966)",Corner Store
CS,Los Mina Market,"100 Harold St
Providence, RI
(41.82965086100046, -71.43870479899965)",Corner Store
SP,Guatepan Bakery,"95 Manton Ave
Providence, RI
(41.81850564700045, -71.44524757899967)",Specialty
CS,S S International Meat and Groceries LLC,"676 Cranston St
Providence, RI
(41.80569797300046, -71.43689997399963)",Corner Store
CS,RIVER AVE B & M FOOD MART,"168 River Ave
Providence, RI
(41.83214460700049, -71.43824241699963)",Corner Store
CS,International Express Market,"243B Webster Ave
Providence, RI
(41.807943056000454, -71.44810268099963)",Corner Store
CS,Antillas Supermarket #4,"194 Douglas Ave
Providence, RI
(41.8372679200005, -71.42257698599963)",Corner Store
CS,People Helping People Variety Store,"403 Plainfield St
Providence, RI
(41.81366391500046, -71.45154609399964)",Corner Store
CG,WALGREENS 10099,"333 Atwells Ave
Providence, RI
(41.82378284200047, -71.42881944499965)",Chain Store or Gas Station
SP,PANADERIA EL QUETZAL,"445 Hartford Ave
Providence, RI
(41.81857457700045, -71.45850939299964)",Specialty
CS,Manton Mini Mart,"600 Manton Ave
Providence, RI
(41.826910427000485, -71.46067522999965)",Corner Store
CS,FARAFINA,"845 Potters Ave
Providence, RI
(41.80490633800048, -71.43727746599967)",Corner Store
UK,A Touch Of Merengue LLC - The Atom,"47 Academy Ave
Providence, RI
(41.82590685600047, -71.44346013599966)",
UK,COLBEA ENTERPRISES LLC,"1075 Main St
Providence, RI
(41.84991940700047, -71.40304405799964)",
CS,Douglas Food Mart,"175 Douglas Ave
Providence, RI
(41.83697630400047, -71.42171773899963)",Corner Store
CS,"WEBSTER MEAT MARKET, INC.","249 Webster Ave
Providence, RI
(41.80780627600046, -71.44803722299963)",Corner Store
CS,Mateo Market LLC,"3 Priscilla Ave
Providence, RI
(41.81098277600046, -71.44751392999967)",Corner Store
CS,Explosion Market,"248 Dexter St
Providence, RI
(41.80967566100048, -71.42822693099964)",Corner Store
CS,STOP MARKET AND ASSOCIATES,"308 Cranston St
Providence, RI
(41.812829284000486, -71.42911254699965)",Corner Store
CS,JUNIOR MINI MARKET,"294 Pocasset Ave
Providence, RI
(41.80705664800047, -71.45660676599965)",Corner Store
CS,Camden Mini Market,"135 Camden Ave
Providence, RI
(41.83902465900047, -71.42670175699965)",Corner Store
CS,Cibao Mini Market,"456 Prairie Ave
Providence, RI
(41.80173829200049, -71.41315494299965)",Corner Store
CS,NEW SHOP & GO,"97 Hope St
Providence, RI
(41.830770317000486, -71.34731006399966)",Corner Store
