CENSUS TRACT,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income
17031210800,384,371,13,20,364,310,0,0,0,0,64,10,153,61739
17031210900,1245,1090,155,131,1114,1030,21,0,81,0,91,22,373,72366
17031220300,891,816,75,24,867,787,10,0,31,0,24,39,240,88942
17031220400,1090,1018,72,66,1024,970,0,0,50,0,43,27,267,95333
17031220500,1194,1106,88,57,1137,1024,56,0,71,0,17,26,219,91389
17031220601,690,601,89,92,598,613,24,13,10,0,18,12,210,75438
17031220602,2460,2041,419,385,2075,2092,167,0,29,0,92,80,786,46276
17031220701,1068,948,120,146,922,814,33,0,15,0,153,53,633,65417
17031220702,1367,1209,158,161,1206,1055,91,0,26,0,164,31,679,61733
17031220901,984,726,258,260,724,697,94,0,26,0,119,48,636,47778
17031220902,946,822,124,163,783,821,6,8,16,0,64,31,686,56667
17031221000,1013,818,195,153,860,770,106,6,32,0,85,14,524,47344
17031221100,1931,1541,390,205,1726,1512,147,18,39,10,133,72,795,55194
17031221200,1226,1158,68,130,1096,1082,49,0,35,0,13,47,304,91354
17031221300,1315,1094,221,135,1180,1112,56,0,19,0,69,59,400,56725
17031221400,1347,1258,89,76,1271,1126,37,0,54,0,64,66,492,78972
17031221500,1325,1166,159,171,1154,1116,131,0,54,0,10,14,355,64495
17031221600,1413,1323,90,12,1401,1252,49,0,78,0,10,24,171,133438
17031222200,900,862,38,29,871,810,25,0,65,0,0,0,88,134500
17031222500,527,402,125,90,437,446,26,0,5,0,26,24,222,79250
17031222600,694,637,57,47,647,573,40,0,10,0,38,33,185,80735
17031222700,830,699,131,134,696,674,65,6,20,0,37,28,372,62733
17031222800,365,294,71,73,292,260,47,0,0,0,39,19,237,42039
17031222900,331,299,32,84,247,244,47,0,0,0,30,10,207,46985
17031230100,624,493,131,117,507,375,69,0,24,0,130,26,252,55000
17031230200,611,455,156,114,497,323,71,8,11,0,172,26,385,55605
17031230300,293,231,62,115,178,133,7,22,0,0,128,3,212,39653
17031230400,667,511,156,164,503,327,0,6,10,0,307,17,538,58250
17031230500,1152,757,395,473,679,296,138,0,30,0,679,9,954,31288
17031230600,1925,1430,495,671,1254,356,629,25,0,0,872,43,1185,41931
17031230700,1715,1388,327,477,1238,494,181,23,0,0,951,66,1367,40636
17031230800,357,282,75,89,268,126,19,3,0,0,195,14,312,55365
