STORE NAME,SQUARE FEET,BUFFER SIZE,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,CENSUS TRACT,LATITUDE,LONGITUDE,LOCATION
NANCE FOOD MART,4500.0,B,60628,ROSELAND,49,17031491000,41.6951531575,-87.6278202407,"(41.6951531575, -87.6278202407)"
RIVIERA FOODS,3500.0,B,60634,DUNNING,17,17031170800,41.9385912816,-87.8069148007,"(41.9385912816, -87.8069148007)"
J K & S FOOD & LIQUOR,3024.0,B,60621,ENGLEWOOD,68,17031834600,41.7870390747,-87.6378127282,"(41.7870390747, -87.6378127282)"
K & K FOOD & LIQUOR,4200.0,B,60609,NEW CITY,61,17031611000,41.8015768439,-87.6537884728,"(41.8015768439, -87.6537884728)"
WILLIAM'S PRODUCE,6375.0,B,60639,BELMONT CRAGIN,19,17031191301,41.9218942299,-87.78339752,"(41.9218942299, -87.78339752)"
CHATHAM FOOD MARKET,4500.0,B,60619,CHATHAM,44,17031440300,41.750972675300005,-87.6169578802,"(41.7509726753, -87.6169578802)"
JEWEL FOOD STORE #3442,29060.0,A,60630,NORTH PARK,13,17031130200,41.9756241124,-87.7298445616,"(41.9756241124, -87.7298445616)"
CUPBOARD FOOD & LIQUOR,3000.0,B,60632,GAGE PARK,63,17031630300,41.793589179499996,-87.7059457835,"(41.7935891795, -87.7059457835)"
PAULINA MARKET,10000.0,A,60657,LAKE VIEW,6,17031831900,41.945254158400004,-87.6723897932,"(41.9452541584, -87.6723897932)"
CARNICERIA GUANJUATO #3,8800.0,B,60622,WEST TOWN,24,17031241500,41.908115373899996,-87.6677638335,"(41.9081153739, -87.6677638335)"
PETE'S FRESH MARKET,50000.0,A,60617,HEGEWISCH,55,17031550100,41.6810595555,-87.5393675414,"(41.6810595555, -87.5393675414)"
WHOLE FOODS MARKET,6335.0,B,60646,FOREST GLEN,12,17031120200,41.9904947718,-87.7484774142,"(41.9904947718, -87.7484774142)"
E.M. GROCERIES,4500.0,B,60609,NEW CITY,61,17031612000,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
SAVE-A-LOT #860,12500.0,A,60629,WEST LAWN,65,17031650301,41.7784159744,-87.7340575715,"(41.7784159744, -87.7340575715)"
"LATIN GROCERY & LIQUOR, INC",10001.0,A,60647,HUMBOLDT PARK,23,17031230400,41.9100494194,-87.72145808389999,"(41.9100494194, -87.7214580839)"
ATHENS GROCERY,2600.0,B,60661,NEAR WEST SIDE,28,17031833100,41.8771621281,-87.6473642897,"(41.8771621281, -87.6473642897)"
JEWEL FOOD STORE #3092,10001.0,A,60617,SOUTH DEERING,51,17031510300,41.7222631981,-87.5829176346,"(41.7222631981, -87.5829176346)"
M & J LIQUOR & GROCERY,2900.0,B,60625,ALBANY PARK,14,17031140301,41.9684345799,-87.7204810114,"(41.9684345799, -87.7204810114)"
THRIFTY FOOD,4000.0,B,60640,UPTOWN,3,17031031501,41.9655577007,-87.65355927899999,"(41.9655577007, -87.653559279)"
DOMINICK'S # 1100,10001.0,A,60608,MCKINLEY PARK,59,17031840400,41.8364683477,-87.6655669021,"(41.8364683477, -87.6655669021)"
SAVE-A-LOT # 854,15000.0,A,60620,AUBURN GRESHAM,71,17031710800,41.7503223874,-87.6441824061,"(41.7503223874, -87.6441824061)"
"CARNICERIA LA GLORIA NO. 2, INC.",7500.0,B,60632,GAGE PARK,63,17031630500,41.7938118263,-87.6931506024,"(41.7938118263, -87.6931506024)"
DOMINICK'S # 113/1113,10001.0,A,60646,NORWOOD PARK,10,17031100200,41.9959852861,-87.78763711709999,"(41.9959852861, -87.7876371171)"
STRACK & VAN TIL,65400.0,A,60647,LOGAN SQUARE,22,17031830900,41.929489274,-87.68368782489999,"(41.929489274, -87.6836878249)"
CORCORANS PANTRY INC,4200.0,B,60660,EDGEWATER,77,17031030701,41.9835447852,-87.6582676725,"(41.9835447852, -87.6582676725)"
JEWEL FOOD STORE #3477,17676.0,A,60656,OHARE,76,17031760802,41.9660114013,-87.8368311691,"(41.9660114013, -87.8368311691)"
SUPERMERCADO EL GUERO NO. 8,14000.0,A,60608,LOWER WEST SIDE,31,17031841300,41.8520256918,-87.6784122433,"(41.8520256918, -87.6784122433)"
3600 COMMISSARY,3800.0,B,60613,LAKE VIEW,6,17031060900,41.9486836744,-87.6436497585,"(41.9486836744, -87.6436497585)"
LA CIENEGA SUPER FOOD INC,10000.0,A,60617,EAST SIDE,52,17031520300,41.699814846500004,-87.53542689049999,"(41.6998148465, -87.5354268905)"
"MORELIA SUPERMARKET #2, INC.",12000.0,A,60639,BELMONT CRAGIN,19,17031190800,41.931406291,-87.7479369735,"(41.931406291, -87.7479369735)"
BURNHAM PLAZA MART,2950.0,B,60605,LOOP,32,17031320600,41.871444196300004,-87.62607513030001,"(41.8714441963, -87.6260751303)"
INTERNATIONAL FOODS NW INC,14000.0,A,60639,HERMOSA,20,17031200200,41.9244726356,-87.736789505,"(41.9244726356, -87.736789505)"
MICHAELS FRESH MARKET,41000.0,A,60653,KENWOOD,39,17031390100,41.809772726599995,-87.5949608909,"(41.8097727266, -87.5949608909)"
M & D VARIETY STORE,4500.0,B,60643,MORGAN PARK,75,17031750100,41.692319626599996,-87.65466321129999,"(41.6923196266, -87.6546632113)"
JEWEL FOOD STORE #3344,63407.0,A,60608,NEAR WEST SIDE,28,17031842900,41.8662541761,-87.66652414010001,"(41.8662541761, -87.6665241401)"
Three Stars Liquors,4600.0,B,60624,WEST GARFIELD PARK,26,17031260400,41.8858229904,-87.73578781139999,"(41.8858229904, -87.7357878114)"
79 FOOD BASKET,3000.0,B,60620,AUBURN GRESHAM,71,17031710700,41.7503211206,-87.65818905290001,"(41.7503211206, -87.6581890529)"
JEWEL-OSCO #3632,62349.0,A,60613,LAKE VIEW,6,17031060400,41.9480045508,-87.6641862307,"(41.9480045508, -87.6641862307)"
ASHLAND FOOD AND LIQUORS,10001.0,A,60643,WASHINGTON HEIGHTS,73,17031730201,41.7213269867,-87.66253365850001,"(41.7213269867, -87.6625336585)"
ROSE-RIDGE FOODS,3000.0,B,60628,ROSELAND,49,17031490902,41.7034152187,-87.62080967909999,"(41.7034152187, -87.6208096791)"
COTTAGE GROVE FOOD MART,4000.0,B,60637,WOODLAWN,42,17031420800,41.7801519592,-87.60577752409999,"(41.7801519592, -87.6057775241)"
T & Z MEAT,3000.0,B,60641,BELMONT CRAGIN,19,17031190100,41.9358159257,-87.74661869719999,"(41.9358159257, -87.7466186972)"
"LA LOMA ""CARNICERIA Y TAQUERIA""",4501.0,B,60639,BELMONT CRAGIN,19,17031190800,41.9270360931,-87.75610618299999,"(41.9270360931, -87.756106183)"
CARNICERIA JIMENEZ #2,19000.0,A,60647,LOGAN SQUARE,22,17031220701,41.924628320500005,-87.72395332100001,"(41.9246283205, -87.723953321)"
HOA NOM CO,4200.0,B,60640,UPTOWN,3,17031031200,41.9731612999,-87.65783317959999,"(41.9731612999, -87.6578331796)"
ROYLA BLUE FOODS,2500.0,B,60632,BRIGHTON PARK,58,17031580700,41.8139376802,-87.68692201399999,"(41.8139376802, -87.686922014)"
JEWEL FOOD STORE #3057,21785.0,A,60636,CHICAGO LAWN,66,17031835000,41.7830611377,-87.68359886969999,"(41.7830611377, -87.6835988697)"
QUINTESSENCE,3000.0,B,60651,HUMBOLDT PARK,23,17031230600,41.909107755,-87.72663414690001,"(41.909107755, -87.7266341469)"
CERMAK PRODUCE,29000.0,A,60618,IRVING PARK,16,17031160501,41.9585967247,-87.7083095759,"(41.9585967247, -87.7083095759)"
OLD WORLD MARKET,10001.0,A,60640,UPTOWN,3,17031031200,41.975475398600004,-87.6596970117,"(41.9754753986, -87.6596970117)"
MEHRAB ZABIHA MEAT & TOBACCO,3000.0,B,60659,WEST RIDGE,2,17031020802,41.9975920168,-87.69166812190001,"(41.9975920168, -87.6916681219)"
KING FOOD & LIQUOR,3750.0,B,60621,ENGLEWOOD,68,17031681100,41.7689262968,-87.644655997,"(41.7689262968, -87.644655997)"
PAULINA SUPER MARKET INC,7000.0,B,60626,ROGERS PARK,1,17031010100,42.020087315,-87.6732345632,"(42.020087315, -87.6732345632)"
ALDI FOODS-STORE #27,12300.0,A,60641,IRVING PARK,16,17031161300,41.9423835134,-87.72901085950001,"(41.9423835134, -87.7290108595)"
ALDI INC STORE #62,9495.0,B,60608,LOWER WEST SIDE,31,17031843200,41.8521511995,-87.67007460190001,"(41.8521511995, -87.6700746019)"
"MY RANCH, INC.",8500.0,B,60640,UPTOWN,3,17031830700,41.9669775683,-87.6549446417,"(41.9669775683, -87.6549446417)"
SAVE-A-LOT  #851,114100.0,A,60628,MORGAN PARK,75,17031750100,41.6995474147,-87.6427519151,"(41.6995474147, -87.6427519151)"
MARIO 'S BUTCHER SHOP FD CNTR,10001.0,A,60644,AUSTIN,25,17031252101,41.8800449808,-87.7704933793,"(41.8800449808, -87.7704933793)"
BOCKWINKELS,7200.0,B,60601,LOOP,32,17031320100,41.886339416,-87.62083615,"(41.886339416, -87.62083615)"
SUPERMERCADO ALEX,9375.0,B,60623,SOUTH LAWNDALE,30,17031301803,41.8369472381,-87.72814236319999,"(41.8369472381, -87.7281423632)"
HALAL MEAT & GROCERY,2500.0,B,60660,ROGERS PARK,1,17031010600,41.9982373871,-87.6661711005,"(41.9982373871, -87.6661711005)"
SOUTH SHORE FOOD MARKET INC.,3000.0,B,60649,SOUTH SHORE,43,17031431200,41.7587872873,-87.5759934845,"(41.7587872873, -87.5759934845)"
SUPERMERCADO EL MEXICANO,4387.0,B,60626,ROGERS PARK,1,17031830600,42.0035849743,-87.67235193190001,"(42.0035849743, -87.6723519319)"
LA PROVIDENCIA FOOD MART,2572.0,B,60608,LOWER WEST SIDE,31,17031310800,41.8542193742,-87.6684581591,"(41.8542193742, -87.6684581591)"
ALDI #79,15150.0,A,60619,AVALON PARK,45,17031834300,41.7527456405,-87.58752348530001,"(41.7527456405, -87.5875234853)"
DOMINICK'S # 86/1086,10001.0,A,60618,NORTH CENTER,5,17031843700,41.9427471952,-87.6883543215,"(41.9427471952, -87.6883543215)"
FAMILY PRIDE,12500.0,A,60655,MOUNT GREENWOOD,74,17031740200,41.7003552742,-87.7205408964,"(41.7003552742, -87.7205408964)"
ALDI INC #58,12571.0,A,60618,NORTH CENTER,5,17031050300,41.961194098600004,-87.68996697040001,"(41.9611940986, -87.6899669704)"
CARNICERIA LA VILLA #2,3289.0,B,60639,BELMONT CRAGIN,19,17031191302,41.919774901,-87.7707265258,"(41.919774901, -87.7707265258)"
TREASURE ISLAND FOODS INC,10001.0,A,60610,NEAR NORTH SIDE,8,17031081000,41.9030261368,-87.6313487722,"(41.9030261368, -87.6313487722)"
JEWEL FOOD STORE #3241,24262.0,A,60622,WEST TOWN,24,17031241500,41.906243703099996,-87.6698622813,"(41.9062437031, -87.6698622813)"
WHOLE FOODS MARKET,74883.0,A,60642,NEAR NORTH SIDE,8,17031842200,41.9093987878,-87.65305069790001,"(41.9093987878, -87.6530506979)"
JOSEPH FOOD MART,3000.0,B,60634,DUNNING,17,17031170500,41.9520185577,-87.83316684340001,"(41.9520185577, -87.8331668434)"
HARPER FOODS,3300.0,B,60637,HYDE PARK,41,17031411100,41.7914105694,-87.58953262780001,"(41.7914105694, -87.5895326278)"
POTASH BROS. SUPERMARKET,12000.0,A,60610,NEAR NORTH SIDE,8,17031080201,41.910117944899994,-87.63149089139999,"(41.9101179449, -87.6314908914)"
Baltimore Food & Liquor,3404.0,B,60633,HEGEWISCH,55,17031550100,41.6529646117,-87.54729865280001,"(41.6529646117, -87.5472986528)"
Supermercado Santos,4000.0,B,60623,SOUTH LAWNDALE,30,17031830500,41.8367499608,-87.7261326568,"(41.8367499608, -87.7261326568)"
CERMAK PRODUCE,10000.0,A,60639,BELMONT CRAGIN,19,17031190200,41.9316414204,-87.74671991059999,"(41.9316414204, -87.7467199106)"
NICKEL LIQUOR & MINI MART INC,10001.0,A,60651,HUMBOLDT PARK,23,17031231200,41.9026337556,-87.7179312389,"(41.9026337556, -87.7179312389)"
TRADER JOE'S EAST,11600.0,A,60614,LINCOLN PARK,7,17031832600,41.914423714099996,-87.65462784299999,"(41.9144237141, -87.654627843)"
WALGREENS #162,,A,60615,HYDE PARK,41,17031410800,41.79529732,-87.58782256,"(41.79529732, -87.58782256)"
"TONY'S FINER FOODS ENTERPRISES, INC.",31000.0,A,60618,IRVING PARK,16,17031160400,41.9561262015,-87.7224828263,"(41.9561262015, -87.7224828263)"
Natural Country Deli,3500.0,B,60631,NORWOOD PARK,10,17031100200,41.9984929696,-87.7890953687,"(41.9984929696, -87.7890953687)"
LOGAN CERTIFIED FOODS CORP,4500.0,B,60647,LOGAN SQUARE,22,17031220400,41.93197047,-87.699931619,"(41.93197047, -87.699931619)"
JEWEL FOOD STORE #3170,30374.0,A,60632,WEST ELSDON,62,17031620200,41.7961975914,-87.7233918834,"(41.7961975914, -87.7233918834)"
MOUNSEF INTERNATIONAL,10001.0,A,60625,ALBANY PARK,14,17031140701,41.9677930872,-87.7086027049,"(41.9677930872, -87.7086027049)"
